pattern;category;;;;;
accusation(s)? of witchcraft;Community Security;;;;;
alienation;Community Security;;;;;
antisemitism;Community Security;;;;;
bigotry;Community Security;;;;;
bonded labour;Community Security;;;;;
caste system(s)?;Community Security;;;;;
clash(es)? between rival factions;Community Security;;;;;
climate of intolerance;Community Security;;;;;
closing off communit(y|ies);Community Security;;;;;
communal conflict(s)?;Community Security;;;;;
communal violence;Community Security;;;;;
community based violence;Community Security;;;;;
community dispute(s)?;Community Security;;;;;
community insecurit(y|ies);Community Security;;;;;
community level violence;Community Security;;;;;
community tension(s)?;Community Security;;;;;
community violence;Community Security;;;;;
community wide misuse of small arms;Community Security;;;;;
conflict among communit(y|ies);Community Security;;;;;
contestation between groups;Community Security;;;;;
conversion therapy;Community Security;;;;;
cultural practice of exclusion;Community Security;;;;;
deep inequalit(y|ies) among group(s)?;Community Security;;;;;
dehumanization;Community Security;;;;;
dehumanizing caricature(s)? of particular group(s)?;Community Security;;;;;
deprivation among certain group(s)?;Community Security;;;;;
deprivation of community;Community Security;;;;;
depriving a minority of right(s)?;Community Security;;;;;
destruction of societ(y|ies);Community Security;;;;;
destructive gender stereotype(s)?;Community Security;;;;;
discriminating;Community Security;;;;;
discrimination;Community Security;;;;;
discriminatory belief(s)?;Community Security;;;;;
discriminatory politics;Community Security;;;;;
discriminatory practice(s)?;Community Security;;;;;
erosion of social support;Community Security;;;;;
ethnic carnage;Community Security;;;;;
ethnic clash(es)?;Community Security;;;;;
ethnic cleansing;Community Security;;;;;
ethnic cleavage(s)?;Community Security;;;;;
ethnic conflict(s)?;Community Security;;;;;
ethnic discrimination;Community Security;;;;;
ethnic dispute(s)?;Community Security;;;;;
ethnic hatred;Community Security;;;;;
ethnic issue(s)?;Community Security;;;;;
ethnic provocation(s)?;Community Security;;;;;
ethnic strife;Community Security;;;;;
ethnic tension(s)?;Community Security;;;;;
ethnic violence;Community Security;;;;;
ethnically motivated armed conflict(s)?;Community Security;;;;;
ethnically motivated violence;Community Security;;;;;
ethno territorial dispute(s)?;Community Security;;;;;
exclusion from;Community Security;;;;;
exclusion of;Community Security;;;;;
existing identity imbalance(s)?;Community Security;;;;;
existing identity inequit(y|ies);Community Security;;;;;
exploitation;Community Security;;;;;
family separation;Community Security;;;;;
female circumcision;Community Security;;;;;
female genital mutilation;Community Security;;;;;
forced medical intervention(s)?;Community Security;;;;;
gender asymmetr(y|ies);Community Security;;;;;
gender bias(es)?;Community Security;;;;;
gender digital divide(s)?;Community Security;;;;;
gender discrimination;Community Security;;;;;
gender disparit(y|ies) ;Community Security;;;;;
gender gap;Community Security;;;;;
gender inequalit(y|ies);Community Security;;;;;
gender inequit(y|ies);Community Security;;;;;
gender injustice;Community Security;;;;;
gender issue(s)?;Community Security;;;;;
genital mutilation;Community Security;;;;;
genital mutilation related death(s)?;Community Security;;;;;
genocidal;Community Security;;;;;
genocide(s)?;Community Security;;;;;
geographic isolation;Community Security;;;;;
group exclusion;Community Security;;;;;
group level inequalit(y|ies);Community Security;;;;;
group marginalization;Community Security;;;;;
growing inequalit(y|ies) among communit(y|ies);Community Security;;;;;
hate;Community Security;;;;;
hate crime(s)?;Community Security;;;;;
hate speech;Community Security;;;;;
hateful conduct(s)?;Community Security;;;;;
hatred;Community Security;;;;;
child marriage(s)?;Community Security;;;;;
identity based tension(s)?;Community Security;;;;;
identity fraud;Community Security;;;;;
identity politics;Community Security;;;;;
imprisonment(s)? of people of colour;Community Security;;;;;
incitement(s)?;Community Security;;;;;
inequalit(y|ies) among;Community Security;;;;;
inequalit(y|ies) between;Community Security;;;;;
inflammatory education;Community Security;;;;;
injustice(s)? of identity politics;Community Security;;;;;
inter ethnic conflict(s)?;Community Security;;;;;
inter ethnic resource based conflict(s)?;Community Security;;;;;
inter ethnic tension(s)?;Community Security;;;;;
intercommunal economic rivalr(y|ies);Community Security;;;;;
intercommunity conflict(s)?;Community Security;;;;;
interethnic strife;Community Security;;;;;
intolerance;Community Security;;;;;
intra community violence;Community Security;;;;;
islamophobia;Community Security;;;;;
isolation of communit(y|ies);Community Security;;;;;
lack of identity recognition;Community Security;;;;;
lack of recognition;Community Security;;;;;
language invisibilizing;Community Security;;;;;
manipulation of ethnic difference(s)?;Community Security;;;;;
manipulation of identity politics;Community Security;;;;;
marginalization;Community Security;;;;;
massacre(s)?;Community Security;;;;;
microaggression(s)?;Community Security;;;;;
misogynist;Community Security;;;;;
misogyny;Community Security;;;;;
negative stereotype(s)?;Community Security;;;;;
online hate;Community Security;;;;;
othering;Community Security;;;;;
pathologization;Community Security;;;;;
patriarchal structural;Community Security;;;;;
polarization;Community Security;;;;;
political discrimination;Community Security;;;;;
prejudice;Community Security;;;;;
public intolerance;Community Security;;;;;
race based identit(y|ies);Community Security;;;;;
race discrimination;Community Security;;;;;
racial conflict(s)?;Community Security;;;;;
racial discrimination;Community Security;;;;;
racial hatred;Community Security;;;;;
racial inequalit(y|ies);Community Security;;;;;
racial segregation;Community Security;;;;;
racism;Community Security;;;;;
radicalization of identity politics;Community Security;;;;;
religious cleavage(s)?;Community Security;;;;;
religious conflict(s)?;Community Security;;;;;
religious discrimination;Community Security;;;;;
religious dispute(s)?;Community Security;;;;;
religious intolerance;Community Security;;;;;
religious tension(s)?;Community Security;;;;;
revictimization;Community Security;;;;;
rigidit(y|ies) of identity politics;Community Security;;;;;
segregated neighbourhood(s)?;Community Security;;;;;
sex inequalit(y|ies);Community Security;;;;;
sexism;Community Security;;;;;
sexist language;Community Security;;;;;
slavery;Community Security;;;;;
social discrimination of;Community Security;;;;;
social exclusion of;Community Security;;;;;
social grievance(s)?;Community Security;;;;;
social isolation;Community Security;;;;;
social practice(s)? of exclusion;Community Security;;;;;
societal divide(s)?;Community Security;;;;;
stereotype(s)?;Community Security;;;;;
stereotyping;Community Security;;;;;
stigma(s)?;Community Security;;;;;
stigmatization;Community Security;;;;;
structural racism;Community Security;;;;;
systematic sexual violence;Community Security;;;;;
tension(s)? among communit(y|ies);Community Security;;;;;
the exclusion of communit(y|ies);Community Security;;;;;
transphobia;Community Security;;;;;
undermining of social cohesion;Community Security;;;;;
unequal treatment of wom[ae]n;Community Security;;;;;
victimhood;Community Security;;;;;
victimization;Community Security;;;;;
violation of group's rights;Community Security;;;;;
violation(s)? of human right(s)? of;Community Security;;;;;
violation(s)? of wom[ae]n's right(s)?;Community Security;;;;;
wom[ae]n's disempowerment;Community Security;;;;;
wom[ae]n's economic insecurit(y|ies);Community Security;;;;;
xenophobia;Community Security;;;;;
xenophobic hate speech;Community Security;;;;;
absence of state supported basic social protection;Economic Security;;;;;
asset depletion;Economic Security;;;;;
asset loss;Economic Security;;;;;
attack(s)? on financial institution(s)?;Economic Security;;;;;
attack(s)? on financial system(s)?;Economic Security;;;;;
attack(s)? on physical infrastructure;Economic Security;;;;;
bankruptcy;Economic Security;;;;;
barrier in access to basic service(s)?;Economic Security;;;;;
black market activit(y|ies);Economic Security;;;;;
capital flight;Economic Security;;;;;
collapse of social safety net;Economic Security;;;;;
competition for scarce resource(s)?;Economic Security;;;;;
compulsory spending;Economic Security;;;;;
continuous unemployment;Economic Security;;;;;
crowding out the provision of essential public ;Economic Security;;;;;
crowding out the provision of essential social service(s)?;Economic Security;;;;;
cut in welfare payment(s)?;Economic Security;;;;;
cut of social expenditure(s)?;Economic Security;;;;;
daily insecurit(y|ies);Economic Security;;;;;
data fraud;Economic Security;;;;;
data theft;Economic Security;;;;;
decline in income;Economic Security;;;;;
decline in wage(s)?;Economic Security;;;;;
denial of access to critical resource(s)?;Economic Security;;;;;
denial of employment opportunit(y|ies);Economic Security;;;;;
deprivation(s)?;Economic Security;;;;;
destitution(s)?;Economic Security;;;;;
destruction of bank(s)?;Economic Security;;;;;
destruction of civilian propert(y|ies);Economic Security;;;;;
destruction of economic asset(s)?;Economic Security;;;;;
destruction of home(s)?;Economic Security;;;;;
destruction of infrastructure;Economic Security;;;;;
destruction of livelihood(s)?;Economic Security;;;;;
destruction of road(s)?;Economic Security;;;;;
destruction of utility system(s)?;Economic Security;;;;;
deterioration of basic social service(s)?;Economic Security;;;;;
digital inequalit(y|ies);Economic Security;;;;;
discrepanc(y|ies) in ;Economic Security;;;;;
disparit(y|ies) in;Economic Security;;;;;
disparit(y|ies) of;Economic Security;;;;;
disrupting electricity grid(s)?;Economic Security;;;;;
downside(s)? of digital technolog(y|ies);Economic Security;;;;;
drop in income;Economic Security;;;;;
drop in remittance(s)?;Economic Security;;;;;
drop of minimum wage(s)?;Economic Security;;;;;
drop of real wage(s)?;Economic Security;;;;;
economic bubble(s)?;Economic Security;;;;;
economic catastrophe;Economic Security;;;;;
economic collapse;Economic Security;;;;;
economic cris[ie]s;Economic Security;;;;;
economic damage(s)?;Economic Security;;;;;
economic danger(s)?;Economic Security;;;;;
economic deprivation(s)?;Economic Security;;;;;
economic disaster(s)?;Economic Security;;;;;
economic discrimination of ;Economic Security;;;;;
economic disparit(y|ies);Economic Security;;;;;
economic distress;Economic Security;;;;;
economic downturn(s)?;Economic Security;;;;;
economic exclusion of ;Economic Security;;;;;
economic challenge(s)?;Economic Security;;;;;
economic insecurit(y|ies);Economic Security;;;;;
economic instabilit(y|ies);Economic Security;;;;;
economic loss(es)?;Economic Security;;;;;
economic problem(s)?;Economic Security;;;;;
economic retreat(s)?;Economic Security;;;;;
economic shock(s)?;Economic Security;;;;;
economic transition(s)?;Economic Security;;;;;
economic violence;Economic Security;;;;;
erosion of labour productivity;Economic Security;;;;;
expulsion from home(s)?;Economic Security;;;;;
extended deprivation(s)?;Economic Security;;;;;
extreme impoverishment;Economic Security;;;;;
fall of currency value;Economic Security;;;;;
falling of real income(s)?;Economic Security;;;;;
famil(y|ies) stripped of assets;Economic Security;;;;;
financial cris[ie]s;Economic Security;;;;;
financial hardship(s)?;Economic Security;;;;;
financial challenge(s)?;Economic Security;;;;;
financial shock(s)?;Economic Security;;;;;
financial volatility;Economic Security;;;;;
fiscal cris[ie]s;Economic Security;;;;;
fraud;Economic Security;;;;;
growing inequalit(y|ies);Economic Security;;;;;
harsh economic condition(s)?;Economic Security;;;;;
having no money;Economic Security;;;;;
high out of pocket spending;Economic Security;;;;;
homelessness;Economic Security;;;;;
horizontal inequalit(y|ies);Economic Security;;;;;
household stripped of assets;Economic Security;;;;;
housing in squalid squatter settlement(s)?;Economic Security;;;;;
housing in unsafe squatter settlement(s)?;Economic Security;;;;;
chronic destitution;Economic Security;;;;;
chronic economic insecurit(y|ies);Economic Security;;;;;
chronic insecurit(y|ies);Economic Security;;;;;
chronic underdevelopment;Economic Security;;;;;
illicit trade;Economic Security;;;;;
illiteracy;Economic Security;;;;;
impeding of economic growth;Economic Security;;;;;
impoverishment;Economic Security;;;;;
inability to find employment;Economic Security;;;;;
inability to own property;Economic Security;;;;;
inability to travel abroad;Economic Security;;;;;
inadequate basic infrastructure(s)?;Economic Security;;;;;
inadequate essential service(s)?;Economic Security;;;;;
inadequate housing;Economic Security;;;;;
income inequalit(y|ies);Economic Security;;;;;
income insecurit(y|ies);Economic Security;;;;;
inflation;Economic Security;;;;;
insecurity of income;Economic Security;;;;;
insufficient access to;Economic Security;;;;;
insufficient economic resource(s)?;Economic Security;;;;;
insufficient housing condition(s)?;Economic Security;;;;;
job insecurit(y|ies);Economic Security;;;;;
job loss;Economic Security;;;;;
joblessness;Economic Security;;;;;
labour market dislocation;Economic Security;;;;;
lack of access to basic service(s)?;Economic Security;;;;;
lack of access to credit;Economic Security;;;;;
lack of access to economic opportunit(y|ies);Economic Security;;;;;
lack of access to formal employment;Economic Security;;;;;
lack of access to housing;Economic Security;;;;;
lack of access to institution(s)?;Economic Security;;;;;
lack of access to public service(s)?;Economic Security;;;;;
lack of access to resource(s)?;Economic Security;;;;;
lack of access to service(s)?;Economic Security;;;;;
lack of adequate social protection;Economic Security;;;;;
lack of basic infrastructure;Economic Security;;;;;
lack of basic service(s)?;Economic Security;;;;;
lack of child care;Economic Security;;;;;
lack of opportunit(y|ies);Economic Security;;;;;
lack of purchasing power;Economic Security;;;;;
lack of resources;Economic Security;;;;;
lack of safety net;Economic Security;;;;;
lack of social safety net;Economic Security;;;;;
lack of veterinary service(s)?;Economic Security;;;;;
limited access to livestock market(s)?;Economic Security;;;;;
limited access to market(s)?;Economic Security;;;;;
limited access to opportunit(y|ies);Economic Security;;;;;
limited access to resource(s)?;Economic Security;;;;;
little access to credit;Economic Security;;;;;
livelihood insecurit(y|ies);Economic Security;;;;;
losing a job;Economic Security;;;;;
loss of income;Economic Security;;;;;
loss of job(s)?;Economic Security;;;;;
loss of livelihood;Economic Security;;;;;
loss of opportunit(y|ies);Economic Security;;;;;
loss of productivity;Economic Security;;;;;
loss of propert(y|ies);Economic Security;;;;;
lost foreign investment;Economic Security;;;;;
low income;Economic Security;;;;;
lower trade in good(s)? and service(s)?;Economic Security;;;;;
material deprivation(s)?;Economic Security;;;;;
miserable living condition(s)?;Economic Security;;;;;
no access to livestock market(s)?;Economic Security;;;;;
nonsalaried job(s)?;Economic Security;;;;;
not being able to afford clothing;Economic Security;;;;;
not being able to afford heat;Economic Security;;;;;
not having basic need(s)? met;Economic Security;;;;;
panic buying;Economic Security;;;;;
penury;Economic Security;;;;;
personal bankruptcy;Economic Security;;;;;
pocket spending;Economic Security;;;;;
ponzi scheme;Economic Security;;;;;
poor socioeconomic condition(s)?;Economic Security;;;;;
poverty;Economic Security;;;;;
power blackout(s)?;Economic Security;;;;;
price volatility;Economic Security;;;;;
privacy breach(es)?;Economic Security;;;;;
pulling children out of school(s)?;Economic Security;;;;;
recession(s)?;Economic Security;;;;;
reduction in aid;Economic Security;;;;;
reduction in availability of basic service(s)?;Economic Security;;;;;
reduction in employment;Economic Security;;;;;
reduction in income opportunit(y|ies);Economic Security;;;;;
reduction in tourism;Economic Security;;;;;
reduction of opportunit(y|ies);Economic Security;;;;;
refusal of employment;Economic Security;;;;;
refusal to renew the work permit(s)?;Economic Security;;;;;
refusal to renew visa(s)?;Economic Security;;;;;
removal of children from school(s)?;Economic Security;;;;;
reversal of social protection;Economic Security;;;;;
rising unemployment;Economic Security;;;;;
risk(s)? to economic security;Economic Security;;;;;
scam;Economic Security;;;;;
scarce employment;Economic Security;;;;;
scarce income generation opportunit(y|ies);Economic Security;;;;;
scarcity;Economic Security;;;;;
shrinking output;Economic Security;;;;;
slum house(s)?;Economic Security;;;;;
slum(s)?;Economic Security;;;;;
social deprivation(s)?;Economic Security;;;;;
social dislocation(s)?;Economic Security;;;;;
social inequalit(y|ies);Economic Security;;;;;
social insecurit(y|ies);Economic Security;;;;;
stolen personal information;Economic Security;;;;;
sudden plummeting of saving(s)?;Economic Security;;;;;
supply chain attack(s)?;Economic Security;;;;;
theft from exchange;Economic Security;;;;;
threat(s)? to economic production;Economic Security;;;;;
trade cris[ie]s;Economic Security;;;;;
underemployment;Economic Security;;;;;
unemployment;Economic Security;;;;;
unequal economic treatment;Economic Security;;;;;
unravelled social safety net;Economic Security;;;;;
unstable economic flow;Economic Security;;;;;
violation of privacy;Economic Security;;;;;
weak privacy;Economic Security;;;;;
widening inequalit(y|ies);Economic Security;;;;;
worsening work condition(s)?;Economic Security;;;;;
youth unemployment;Economic Security;;;;;
access to safe drinking water;Environmental Security;;;;;
acid rain(s)?;Environmental Security;;;;;
active volcano(es|s);Environmental Security;;;;;
acute flooding;Environmental Security;;;;;
acute lack of access to safe water;Environmental Security;;;;;
agricultural runoff;Environmental Security;;;;;
air pollutant(s)?;Environmental Security;;;;;
air pollution;Environmental Security;;;;;
alteration of ecosystem(s)?;Environmental Security;;;;;
biodiversity depletion;Environmental Security;;;;;
biodiversity extinction;Environmental Security;;;;;
biodiversity loss;Environmental Security;;;;;
burning forest(s)?;Environmental Security;;;;;
cancer causing environmental risk(s)?;Environmental Security;;;;;
carbon monoxide;Environmental Security;;;;;
climate change induced extreme weather event(s)?;Environmental Security;;;;;
climate induced drought(s)?;Environmental Security;;;;;
climate related disaster(s)?;Environmental Security;;;;;
climate related hazard event(s)?;Environmental Security;;;;;
climate related hazard(s)?;Environmental Security;;;;;
climatic disaster(s)?;Environmental Security;;;;;
climatic fluctuation(s)?;Environmental Security;;;;;
cloud of acid(s)?;Environmental Security;;;;;
cloud of soot;Environmental Security;;;;;
coastal flooding(s)?;Environmental Security;;;;;
collapse of many once valuable fisheries;Environmental Security;;;;;
conflict(s)? over land;Environmental Security;;;;;
conflict(s)? over water;Environmental Security;;;;;
contaminated water;Environmental Security;;;;;
cyclone(s)?;Environmental Security;;;;;
damage of soil;Environmental Security;;;;;
decline of pollinators;Environmental Security;;;;;
deforestation(s)?;Environmental Security;;;;;
degradation of local ecosystem(s)?;Environmental Security;;;;;
depleted fish stock(s)?;Environmental Security;;;;;
depletion of fish stock(s)?;Environmental Security;;;;;
depletion of non timber forest product(s)?;Environmental Security;;;;;
depletion of river(s)?;Environmental Security;;;;;
desertification;Environmental Security;;;;;
destroying ocean ecosystem(s)?;Environmental Security;;;;;
destruction of ecosystem(s)?;Environmental Security;;;;;
destruction of forest(s)?;Environmental Security;;;;;
destruction of land(s)?;Environmental Security;;;;;
destruction of water suppl(y|ies);Environmental Security;;;;;
deteriorating environment(s)?;Environmental Security;;;;;
diminishing water source(s)?;Environmental Security;;;;;
disaster(s)? related death(s)?;Environmental Security;;;;;
disrupting water(s)?;Environmental Security;;;;;
disruption of water(s)?;Environmental Security;;;;;
draught(s)?;Environmental Security;;;;;
drought condition(s)?;Environmental Security;;;;;
drought(s)?;Environmental Security;;;;;
drowning;Environmental Security;;;;;
dry spell(s)?;Environmental Security;;;;;
drying of grazing land;Environmental Security;;;;;
e waste;Environmental Security;;;;;
earthquake(s)?;Environmental Security;;;;;
ecological degradation;Environmental Security;;;;;
ecological disaster(s)?;Environmental Security;;;;;
empty water taps;Environmental Security;;;;;
endanger water access;Environmental Security;;;;;
environmental catastrophe(s)?;Environmental Security;;;;;
environmental conflict(s)?;Environmental Security;;;;;
environmental degradation(s)?;Environmental Security;;;;;
environmental destruction(s)?;Environmental Security;;;;;
environmental disaster(s)?;Environmental Security;;;;;
environmental hazard(s)?;Environmental Security;;;;;
environmental insecurit(y|ies);Environmental Security;;;;;
environmental pollution;Environmental Security;;;;;
environmental shock(s)?;Environmental Security;;;;;
environmental stress;Environmental Security;;;;;
environmental threat(s)?;Environmental Security;;;;;
environmental violation(s)?;Environmental Security;;;;;
environmentally harmful activit(y|ies);Environmental Security;;;;;
erosion from agriculture;Environmental Security;;;;;
erosion from deforestation;Environmental Security;;;;;
evaporation;Environmental Security;;;;;
expanding desert(s)?;Environmental Security;;;;;
extreme flooding(s)?;Environmental Security;;;;;
extreme heat;Environmental Security;;;;;
extreme temperature(s)?;Environmental Security;;;;;
extreme water stress;Environmental Security;;;;;
extreme weather event(s)?;Environmental Security;;;;;
extreme weather pattern(s)?;Environmental Security;;;;;
extreme weather(s)?;Environmental Security;;;;;
extremely cold temperature(s)?;Environmental Security;;;;;
fertilizer run off;Environmental Security;;;;;
fished out fish stock(s)?;Environmental Security;;;;;
flood(s)?;Environmental Security;;;;;
flooding event(s)?;Environmental Security;;;;;
flooding(s)?;Environmental Security;;;;;
forest deterioration;Environmental Security;;;;;
forest fire(s)?;Environmental Security;;;;;
forest loss(es)?;Environmental Security;;;;;
frequent disaster(s)?;Environmental Security;;;;;
geophysical disaster(s)?;Environmental Security;;;;;
grazing land;Environmental Security;;;;;
heat stress;Environmental Security;;;;;
heat vulnerability;Environmental Security;;;;;
heat wave(s)?;Environmental Security;;;;;
heat(s)?;Environmental Security;;;;;
heavy metal pollutant(s)?;Environmental Security;;;;;
heavy rainfall(s)?;Environmental Security;;;;;
high tide(s)?;Environmental Security;;;;;
higher temperature(s)?;Environmental Security;;;;;
highly weathered soils;Environmental Security;;;;;
human environmental cris[ie]s;Environmental Security;;;;;
human induced degradation;Environmental Security;;;;;
hurricane(s)?;Environmental Security;;;;;
changing monsoon pattern(s)?;Environmental Security;;;;;
chemical discharge;Environmental Security;;;;;
chemical pollution(s)?;Environmental Security;;;;;
illegal exploitation of cobalt;Environmental Security;;;;;
illegal exploitation of coltan;Environmental Security;;;;;
illegal exploitation of copper;Environmental Security;;;;;
illegal exploitation of diamonds;Environmental Security;;;;;
illegal exploitation of gold;Environmental Security;;;;;
illegal exploitation of natural resource(s)?;Environmental Security;;;;;
illegal trade in natural resource(s)?;Environmental Security;;;;;
impact of particles on climate;Environmental Security;;;;;
inadequate water;Environmental Security;;;;;
indoor pollution;Environmental Security;;;;;
insufficient sanitation;Environmental Security;;;;;
irrigation induced salinization;Environmental Security;;;;;
killings of environmental activist(s)?;Environmental Security;;;;;
lack access to clean water;Environmental Security;;;;;
lack of access to basic sanitation;Environmental Security;;;;;
lack of access to clean water;Environmental Security;;;;;
lack of access to safe drinking water;Environmental Security;;;;;
lack of access to safe water;Environmental Security;;;;;
lack of access to water;Environmental Security;;;;;
lack of adequate water;Environmental Security;;;;;
lack of clean drinking water;Environmental Security;;;;;
lack of clean water;Environmental Security;;;;;
lack of natural resource management;Environmental Security;;;;;
lack of safe drinking water;Environmental Security;;;;;
lack of sufficient water;Environmental Security;;;;;
lack of water management;Environmental Security;;;;;
lack of water sanitation;Environmental Security;;;;;
land degradation;Environmental Security;;;;;
land erosion(s)?;Environmental Security;;;;;
land pollution(s)?;Environmental Security;;;;;
land shortage(s)?;Environmental Security;;;;;
landslide(s)?;Environmental Security;;;;;
large scale flooding;Environmental Security;;;;;
loss of arable land(s)?;Environmental Security;;;;;
loss of biodiversity;Environmental Security;;;;;
loss of forest land(s)?;Environmental Security;;;;;
loss of forest(s)?;Environmental Security;;;;;
major disaster(s)?;Environmental Security;;;;;
mangrove loss;Environmental Security;;;;;
